Date,Total Calls,With Transcript,Without Transcript,Successful,Failed,30+ sec,60+ sec,120+ sec,Avg Duration (sec),Total Cost ($),Avg Cost ($)
2025-08-01,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-02,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-03,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-04,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-05,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-06,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-07,1,1,0,1,0,1,0,0,48,0.05,0.05
2025-08-08,16,11,5,16,0,9,2,0,32,0.95,0.06
2025-08-09,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-10,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-11,67,60,7,67,0,45,37,3,53,7.10,0.11
2025-08-12,59,37,22,59,0,26,20,3,44,4.00,0.07
2025-08-13,23,16,7,23,0,7,5,3,37,1.21,0.05
2025-08-14,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-15,26,26,0,26,0,0,0,0,6,0.36,0.01
2025-08-16,38,37,1,38,0,11,5,0,21,2.65,0.07
2025-08-17,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-18,149,72,77,149,0,51,25,5,26,11.08,0.07
2025-08-19,62,44,18,62,0,25,17,7,44,3.61,0.06
2025-08-20,7,6,1,7,0,6,4,0,70,0.66,0.09
2025-08-21,20,3,17,20,0,3,2,0,23,0.60,0.03
2025-08-22,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-23,64,2,62,64,0,24,1,0,18,1.27,0.02
2025-08-24,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-25,269,206,63,269,0,89,45,4,27,18.10,0.07
2025-08-26,395,145,250,308,87,102,50,15,21,19.66,0.05
2025-08-27,37,18,19,37,0,4,1,0,11,1.51,0.04
2025-08-28,751,190,561,730,21,127,52,13,12,26.46,0.04
2025-08-29,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-30,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-08-31,0,0,0,0,0,0,0,0,0,0.00,0.00
2025-09-01,2,2,0,2,0,2,2,1,124,0.72,0.36
2025-09-02,282,34,248,129,153,17,5,1,5,3.04,0.01